=== 2026-09-23T07:09:44Z import start on 8fdaa2ab94a274e04095d7124d546eb0cd14c961 (dev) ; df: 53G free
2026-09-23 07:09:45 [info     ] import_plan                    intervals=['5m', '15m', '1h', '4h', '1d', '1w'] months_count=68 pairs=['BTC/USDT', 'ETH/USDT', 'SOL/USDT'] total_files=1224
2026-09-23 07:09:46 [info     ] initializing_database          echo=False max_overflow=10 pool_size=5
2026-09-23 07:09:46 [info     ] database_connection_successful
2026-09-23 07:09:46 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2021-01.zip
2026-09-23 07:09:51 [info     ] imported_batch                 batch=9/9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2021
2026-09-23 07:09:51 [info     ] imported                       batches=9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2021
2026-09-23 07:09:51 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2021-02.zip
2026-09-23 07:09:56 [info     ] imported_batch                 batch=9/9 interval=5m month=2 pair=BTC/USDT rows=8049 year=2021
2026-09-23 07:09:56 [info     ] imported                       batches=9 interval=5m month=2 pair=BTC/USDT rows=8049 year=2021
2026-09-23 07:09:56 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2021-03.zip
2026-09-23 07:10:00 [info     ] imported_batch                 batch=9/9 interval=5m month=3 pair=BTC/USDT rows=8910 year=2021
2026-09-23 07:10:00 [info     ] imported                       batches=9 interval=5m month=3 pair=BTC/USDT rows=8910 year=2021
2026-09-23 07:10:00 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2021-04.zip
2026-09-23 07:10:05 [info     ] imported_batch                 batch=9/9 interval=5m month=4 pair=BTC/USDT rows=8554 year=2021
2026-09-23 07:10:05 [info     ] imported                       batches=9 interval=5m month=4 pair=BTC/USDT rows=8554 year=2021
2026-09-23 07:10:05 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2021-05.zip
2026-09-23 07:10:09 [info     ] imported_batch                 batch=9/9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2021
2026-09-23 07:10:09 [info     ] imported                       batches=9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2021
2026-09-23 07:10:09 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2021-06.zip
